name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon-offset,icon-offset-units,icon,lon,lat,gx_media_links
Corvus Energy (Canada),https://corvusenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-123.0785962,49.1811337,
CREO Syndicate (UK),Cimate Investment | https://www.creosyndicate.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0929737,51.5103419,
CREO Syndicate (US),https://www.creosyndicate.org/ | Climate Investment,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9910448,40.7401812,
Cruise,https://climatebase.org/company/4468/cruise,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3927224,37.7809636,
Crusoe Energy Systems (CO),Natural gas flaring mitigation | https://www.crusoeenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-104.9916199,39.7460037,
Crusoe Energy Systems (CA),Natural gas flaring mitigation | https://www.crusoeenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4057559,37.8060023,
Dandelion Energy,Residential geothermal  | https://dandelionenergy.com/ | Bedford NY,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.7194673,41.2204834,
Darcy Solutions,HVAC electrification,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-93.658878,44.8862529,
Descartes Labs,Climate Intelligence | https://descarteslabs.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-105.9490117,35.6822567,
DG+Design,https://climatebase.org/company/24320/dgdesign,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.3825343,34.0839517,
DroneSeed,https://climatebase.org/company/3063/droneseed,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3705276,47.6641772,
Earth Angel Sustainable Productions,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.3089661,34.1808392,
Earth Angel Sustainable Productions,https://climatebase.org/company/11663/earth-angel-sustainable-productions-llc Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9522217,40.7266628,
Earth Force,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-104.9786876,39.7486175,
